Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1030149,-,-,-,40.05,-81.54,-5,288,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,Cloud Type,Wind Speed,Wind Direction
1998,1,1,0,0,0,4,0.2,225.8
1998,1,1,0,30,0,4,0.2,225.8
1998,1,1,1,0,0,4,0.30000000000000004,206.0
1998,1,1,1,30,0,1,0.30000000000000004,206.0
1998,1,1,2,0,0,1,0.4,200.5
1998,1,1,2,30,0,0,0.30000000000000004,200.5
1998,1,1,3,0,0,0,0.30000000000000004,202.60000000000002
1998,1,1,3,30,0,1,0.30000000000000004,202.60000000000002
1998,1,1,4,0,0,0,0.30000000000000004,199.4
1998,1,1,4,30,0,0,0.30000000000000004,199.4
1998,1,1,5,0,0,0,0.4,194.9
1998,1,1,5,30,0,0,0.4,194.9
1998,1,1,6,0,0,0,0.4,190.8
1998,1,1,6,30,0,0,0.4,190.8
1998,1,1,7,0,0,1,0.4,191.70000000000002
1998,1,1,7,30,0,0,0.4,191.70000000000002
1998,1,1,8,0,115,0,0.5,199.3
1998,1,1,8,30,392,0,0.5,199.3
1998,1,1,9,0,65,4,0.6000000000000001,207.3
1998,1,1,9,30,93,4,0.6000000000000001,207.3
1998,1,1,10,0,718,0,0.7000000000000001,210.8
1998,1,1,10,30,439,4,0.7000000000000001,210.8
1998,1,1,11,0,488,4,0.8,211.20000000000002
1998,1,1,11,30,671,7,0.8,211.20000000000002
1998,1,1,12,0,731,7,0.8,209.5
1998,1,1,12,30,573,4,0.8,209.5
1998,1,1,13,0,869,1,0.8,208.5
1998,1,1,13,30,857,0,0.8,208.5
1998,1,1,14,0,837,0,0.8,209.3
1998,1,1,14,30,805,0,0.8,209.3
1998,1,1,15,0,762,0,0.8,210.5
1998,1,1,15,30,696,0,0.7000000000000001,210.5
1998,1,1,16,0,602,0,0.7000000000000001,211.10000000000002
1998,1,1,16,30,443,0,0.7000000000000001,211.10000000000002
1998,1,1,17,0,177,0,0.7000000000000001,213.10000000000002
1998,1,1,17,30,0,0,0.7000000000000001,213.10000000000002
1998,1,1,18,0,0,0,0.7000000000000001,214.4
1998,1,1,18,30,0,0,0.7000000000000001,214.4
1998,1,1,19,0,0,0,0.7000000000000001,215.70000000000002
1998,1,1,19,30,0,0,0.7000000000000001,215.70000000000002
1998,1,1,20,0,0,0,0.7000000000000001,218.20000000000002
1998,1,1,20,30,0,0,0.7000000000000001,218.20000000000002
1998,1,1,21,0,0,1,0.7000000000000001,221.0
1998,1,1,21,30,0,0,0.7000000000000001,221.0
1998,1,1,22,0,0,0,0.7000000000000001,224.5
1998,1,1,22,30,0,0,0.7000000000000001,224.5
1998,1,1,23,0,0,0,0.7000000000000001,226.70000000000002
1998,1,1,23,30,0,0,0.7000000000000001,226.70000000000002
1998,1,2,0,0,0,0,0.7000000000000001,227.60000000000002
1998,1,2,0,30,0,4,0.6000000000000001,227.60000000000002
1998,1,2,1,0,0,0,0.6000000000000001,228.10000000000002
1998,1,2,1,30,0,0,0.6000000000000001,228.10000000000002
1998,1,2,2,0,0,0,0.6000000000000001,228.20000000000002
1998,1,2,2,30,0,4,0.5,228.20000000000002
1998,1,2,3,0,0,4,0.5,224.20000000000002
1998,1,2,3,30,0,1,0.5,224.20000000000002
1998,1,2,4,0,0,0,0.5,225.0
1998,1,2,4,30,0,1,0.5,225.0
1998,1,2,5,0,0,4,0.5,228.4
1998,1,2,5,30,0,4,0.5,228.4
1998,1,2,6,0,0,4,0.5,229.5
1998,1,2,6,30,0,4,0.5,229.5
1998,1,2,7,0,0,4,0.5,224.8
1998,1,2,7,30,0,4,0.5,224.8
1998,1,2,8,0,96,0,0.5,219.10000000000002
1998,1,2,8,30,0,4,0.5,219.10000000000002
1998,1,2,9,0,521,0,0.5,212.20000000000002
1998,1,2,9,30,94,4,0.5,212.20000000000002
1998,1,2,10,0,77,4,0.5,202.5
1998,1,2,10,30,120,4,0.5,202.5
1998,1,2,11,0,68,4,0.5,199.3
1998,1,2,11,30,287,2,0.5,199.3
1998,1,2,12,0,214,4,0.6000000000000001,203.10000000000002
1998,1,2,12,30,828,1,0.6000000000000001,203.10000000000002
1998,1,2,13,0,829,1,0.6000000000000001,206.3
1998,1,2,13,30,96,4,0.6000000000000001,206.3
1998,1,2,14,0,0,4,0.6000000000000001,206.60000000000002
1998,1,2,14,30,769,1,0.5,206.60000000000002
1998,1,2,15,0,731,1,0.5,203.70000000000002
1998,1,2,15,30,664,1,0.5,203.70000000000002
1998,1,2,16,0,569,1,0.5,202.8
1998,1,2,16,30,411,1,0.5,202.8
1998,1,2,17,0,0,4,0.5,199.5
1998,1,2,17,30,0,4,0.5,199.5
1998,1,2,18,0,0,4,0.5,197.10000000000002
1998,1,2,18,30,0,4,0.5,197.10000000000002
1998,1,2,19,0,0,4,0.6000000000000001,209.70000000000002
1998,1,2,19,30,0,4,0.5,209.70000000000002
1998,1,2,20,0,0,4,0.5,207.3
1998,1,2,20,30,0,4,0.5,207.3
1998,1,2,21,0,0,4,0.6000000000000001,204.8
1998,1,2,21,30,0,4,0.5,204.8
1998,1,2,22,0,0,1,0.5,197.10000000000002
1998,1,2,22,30,0,4,0.5,197.10000000000002
1998,1,2,23,0,0,4,0.5,185.60000000000002
1998,1,2,23,30,0,1,0.5,185.60000000000002
1998,1,3,0,0,0,4,0.5,199.70000000000002
1998,1,3,0,30,0,4,0.5,199.70000000000002
1998,1,3,1,0,0,1,0.6000000000000001,204.60000000000002
1998,1,3,1,30,0,7,0.6000000000000001,204.60000000000002
1998,1,3,2,0,0,4,0.6000000000000001,210.20000000000002
1998,1,3,2,30,0,4,0.6000000000000001,210.20000000000002
1998,1,3,3,0,0,4,0.6000000000000001,216.20000000000002
1998,1,3,3,30,0,4,0.6000000000000001,216.20000000000002
1998,1,3,4,0,0,4,0.6000000000000001,218.70000000000002
1998,1,3,4,30,0,4,0.6000000000000001,218.70000000000002
1998,1,3,5,0,0,4,0.6000000000000001,219.4
