Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1051145,-,-,-,40.61,-80.58,-5,281,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,Cloud Type,Wind Speed,Wind Direction
2009,1,1,0,0,0,4,0.5,308.40000000000003
2009,1,1,0,30,0,4,0.4,308.40000000000003
2009,1,1,1,0,0,4,0.4,311.20000000000005
2009,1,1,1,30,0,4,0.30000000000000004,311.20000000000005
2009,1,1,2,0,0,4,0.30000000000000004,305.3
2009,1,1,2,30,0,4,0.2,305.3
2009,1,1,3,0,0,4,0.2,298.1
2009,1,1,3,30,0,4,0.2,298.1
2009,1,1,4,0,0,4,0.2,294.40000000000003
2009,1,1,4,30,0,0,0.2,294.40000000000003
2009,1,1,5,0,0,1,0.30000000000000004,283.7
2009,1,1,5,30,0,0,0.30000000000000004,283.7
2009,1,1,6,0,0,0,0.4,262.7
2009,1,1,6,30,0,0,0.4,262.7
2009,1,1,7,0,0,0,0.5,230.4
2009,1,1,7,30,0,7,0.30000000000000004,230.4
2009,1,1,8,0,188,1,0.2,201.60000000000002
2009,1,1,8,30,479,0,0.2,201.60000000000002
2009,1,1,9,0,643,0,0.30000000000000004,176.10000000000002
2009,1,1,9,30,738,0,0.30000000000000004,176.10000000000002
2009,1,1,10,0,802,0,0.30000000000000004,169.20000000000002
2009,1,1,10,30,845,0,0.30000000000000004,169.20000000000002
2009,1,1,11,0,874,0,0.30000000000000004,166.60000000000002
2009,1,1,11,30,891,1,0.30000000000000004,166.60000000000002
2009,1,1,12,0,902,1,0.4,163.70000000000002
2009,1,1,12,30,577,4,0.4,163.70000000000002
2009,1,1,13,0,415,4,0.4,160.8
2009,1,1,13,30,878,1,0.4,160.8
2009,1,1,14,0,861,7,0.4,159.4
2009,1,1,14,30,466,4,0.4,159.4
2009,1,1,15,0,77,4,0.4,156.60000000000002
2009,1,1,15,30,717,0,0.30000000000000004,156.60000000000002
2009,1,1,16,0,612,1,0.2,148.3
2009,1,1,16,30,434,1,0.2,148.3
2009,1,1,17,0,0,0,0.30000000000000004,145.8
2009,1,1,17,30,0,1,0.30000000000000004,145.8
2009,1,1,18,0,0,7,0.4,143.70000000000002
2009,1,1,18,30,0,7,0.4,143.70000000000002
2009,1,1,19,0,0,7,0.4,138.0
2009,1,1,19,30,0,7,0.4,138.0
2009,1,1,20,0,0,7,0.4,137.6
2009,1,1,20,30,0,7,0.4,137.6
2009,1,1,21,0,0,4,0.5,144.4
2009,1,1,21,30,0,4,0.5,144.4
2009,1,1,22,0,0,4,0.5,152.9
2009,1,1,22,30,0,7,0.4,152.9
2009,1,1,23,0,0,7,0.4,162.10000000000002
2009,1,1,23,30,0,7,0.4,162.10000000000002
2009,1,2,0,0,0,7,0.5,168.9
2009,1,2,0,30,0,7,0.5,168.9
2009,1,2,1,0,0,7,0.5,175.8
2009,1,2,1,30,0,7,0.4,175.8
2009,1,2,2,0,0,7,0.4,185.0
2009,1,2,2,30,0,6,0.4,185.0
2009,1,2,3,0,0,6,0.4,199.60000000000002
2009,1,2,3,30,0,6,0.4,199.60000000000002
2009,1,2,4,0,0,6,0.4,205.5
2009,1,2,4,30,0,7,0.4,205.5
2009,1,2,5,0,0,7,0.4,206.10000000000002
2009,1,2,5,30,0,7,0.4,206.10000000000002
2009,1,2,6,0,0,7,0.4,211.8
2009,1,2,6,30,0,6,0.4,211.8
2009,1,2,7,0,0,6,0.4,213.9
2009,1,2,7,30,0,6,0.4,213.9
2009,1,2,8,0,0,7,0.5,210.3
2009,1,2,8,30,4,7,0.5,210.3
2009,1,2,9,0,172,7,0.5,215.60000000000002
2009,1,2,9,30,0,4,0.5,215.60000000000002
2009,1,2,10,0,246,7,0.6000000000000001,221.9
2009,1,2,10,30,776,0,0.6000000000000001,221.9
2009,1,2,11,0,152,4,0.7000000000000001,232.0
2009,1,2,11,30,252,7,0.7000000000000001,232.0
2009,1,2,12,0,148,7,0.7000000000000001,237.20000000000002
2009,1,2,12,30,104,7,0.7000000000000001,237.20000000000002
2009,1,2,13,0,132,7,0.7000000000000001,237.10000000000002
2009,1,2,13,30,167,7,0.7000000000000001,237.10000000000002
2009,1,2,14,0,183,7,0.7000000000000001,240.70000000000002
2009,1,2,14,30,259,4,0.7000000000000001,240.70000000000002
2009,1,2,15,0,101,4,0.7000000000000001,250.3
2009,1,2,15,30,0,4,0.7000000000000001,250.3
2009,1,2,16,0,0,4,0.7000000000000001,258.7
2009,1,2,16,30,0,7,0.7000000000000001,258.7
2009,1,2,17,0,0,7,0.7000000000000001,266.3
2009,1,2,17,30,0,8,0.6000000000000001,266.3
2009,1,2,18,0,0,4,0.6000000000000001,276.0
2009,1,2,18,30,0,1,0.6000000000000001,276.0
2009,1,2,19,0,0,1,0.6000000000000001,285.2
2009,1,2,19,30,0,1,0.6000000000000001,285.2
2009,1,2,20,0,0,0,0.6000000000000001,290.2
2009,1,2,20,30,0,0,0.5,290.2
2009,1,2,21,0,0,0,0.5,293.40000000000003
2009,1,2,21,30,0,0,0.4,293.40000000000003
2009,1,2,22,0,0,0,0.4,296.7
2009,1,2,22,30,0,0,0.30000000000000004,296.7
2009,1,2,23,0,0,0,0.30000000000000004,298.40000000000003
2009,1,2,23,30,0,1,0.2,298.40000000000003
2009,1,3,0,0,0,4,0.2,300.5
2009,1,3,0,30,0,4,0.2,300.5
2009,1,3,1,0,0,1,0.2,299.0
2009,1,3,1,30,0,1,0.1,299.0
2009,1,3,2,0,0,7,0.1,302.40000000000003
2009,1,3,2,30,0,7,0.2,302.40000000000003
2009,1,3,3,0,0,0,0.30000000000000004,308.5
2009,1,3,3,30,0,0,0.4,308.5
2009,1,3,4,0,0,0,0.5,311.0
2009,1,3,4,30,0,0,0.4,311.0
2009,1,3,5,0,0,4,0.4,314.3
2009,1,3,5,30,0,4,0.30000000000000004,314.3
2009,1,3,6,0,0,1,0.30000000000000004,327.90000000000003
2009,1,3,6,30,0,1,0.30000000000000004,327.90000000000003
2009,1,3,7,0,0,0,0.30000000000000004,345.70000000000005
2009,1,3,7,30,0,1,0.2,345.70000000000005
2009,1,3,8,0,0,4,0.2,359.3
2009,1,3,8,30,0,4,0.2,359.3
2009,1,3,9,0,0,4,0.2,10.200000000000001
2009,1,3,9,30,0,4,0.2,10.200000000000001
