Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1031356,-,-,-,40.49,-81.46,-5,276,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,Cloud Type,Wind Speed,Wind Direction
2009,1,1,0,0,0,4,0.7000000000000001,320.3
2009,1,1,0,30,0,4,0.6000000000000001,320.3
2009,1,1,1,0,0,4,0.6000000000000001,319.70000000000005
2009,1,1,1,30,0,4,0.5,319.70000000000005
2009,1,1,2,0,0,4,0.5,317.40000000000003
2009,1,1,2,30,0,4,0.4,317.40000000000003
2009,1,1,3,0,0,4,0.30000000000000004,315.5
2009,1,1,3,30,0,4,0.30000000000000004,315.5
2009,1,1,4,0,0,0,0.30000000000000004,313.90000000000003
2009,1,1,4,30,0,0,0.4,313.90000000000003
2009,1,1,5,0,0,0,0.5,305.2
2009,1,1,5,30,0,0,0.4,305.2
2009,1,1,6,0,0,1,0.4,222.60000000000002
2009,1,1,6,30,0,0,0.5,222.60000000000002
2009,1,1,7,0,0,1,0.6000000000000001,176.5
2009,1,1,7,30,0,1,0.5,176.5
2009,1,1,8,0,0,4,0.4,165.20000000000002
2009,1,1,8,30,464,4,0.5,165.20000000000002
2009,1,1,9,0,631,0,0.7000000000000001,161.5
2009,1,1,9,30,732,0,0.7000000000000001,161.5
2009,1,1,10,0,797,0,0.8,162.4
2009,1,1,10,30,841,1,0.8,162.4
2009,1,1,11,0,453,4,0.8,162.8
2009,1,1,11,30,890,1,0.8,162.8
2009,1,1,12,0,631,4,0.8,162.3
2009,1,1,12,30,603,7,0.8,162.3
2009,1,1,13,0,627,4,0.9,162.10000000000002
2009,1,1,13,30,421,4,0.9,162.10000000000002
2009,1,1,14,0,272,4,0.9,161.5
2009,1,1,14,30,478,4,0.8,161.5
2009,1,1,15,0,451,4,0.8,159.4
2009,1,1,15,30,734,4,0.7000000000000001,159.4
2009,1,1,16,0,633,1,0.6000000000000001,153.3
2009,1,1,16,30,466,0,0.6000000000000001,153.3
2009,1,1,17,0,0,4,0.7000000000000001,150.6
2009,1,1,17,30,0,7,0.7000000000000001,150.6
2009,1,1,18,0,0,7,0.7000000000000001,146.20000000000002
2009,1,1,18,30,0,7,0.7000000000000001,146.20000000000002
2009,1,1,19,0,0,7,0.7000000000000001,143.0
2009,1,1,19,30,0,8,0.7000000000000001,143.0
2009,1,1,20,0,0,7,0.7000000000000001,144.4
2009,1,1,20,30,0,4,0.7000000000000001,144.4
2009,1,1,21,0,0,4,0.8,150.3
2009,1,1,21,30,0,7,0.8,150.3
2009,1,1,22,0,0,6,0.8,159.5
2009,1,1,22,30,0,7,0.8,159.5
2009,1,1,23,0,0,7,0.8,168.4
2009,1,1,23,30,0,7,0.8,168.4
2009,1,2,0,0,0,7,0.8,176.60000000000002
2009,1,2,0,30,0,7,0.7000000000000001,176.60000000000002
2009,1,2,1,0,0,7,0.7000000000000001,186.9
2009,1,2,1,30,0,6,0.6000000000000001,186.9
2009,1,2,2,0,0,6,0.6000000000000001,200.10000000000002
2009,1,2,2,30,0,6,0.6000000000000001,200.10000000000002
2009,1,2,3,0,0,6,0.6000000000000001,208.5
2009,1,2,3,30,0,7,0.6000000000000001,208.5
2009,1,2,4,0,0,7,0.6000000000000001,205.70000000000002
2009,1,2,4,30,0,7,0.6000000000000001,205.70000000000002
2009,1,2,5,0,0,7,0.6000000000000001,205.8
2009,1,2,5,30,0,7,0.6000000000000001,205.8
2009,1,2,6,0,0,6,0.7000000000000001,210.9
2009,1,2,6,30,0,7,0.7000000000000001,210.9
2009,1,2,7,0,0,7,0.7000000000000001,204.8
2009,1,2,7,30,0,6,0.7000000000000001,204.8
2009,1,2,8,0,0,7,0.7000000000000001,199.9
2009,1,2,8,30,70,7,0.7000000000000001,199.9
2009,1,2,9,0,126,4,0.8,206.4
2009,1,2,9,30,152,4,0.9,206.4
2009,1,2,10,0,267,4,1.0,222.0
2009,1,2,10,30,192,4,1.1,222.0
2009,1,2,11,0,187,7,1.2000000000000002,235.0
2009,1,2,11,30,165,7,1.2000000000000002,235.0
2009,1,2,12,0,52,7,1.2000000000000002,237.3
2009,1,2,12,30,147,7,1.2000000000000002,237.3
2009,1,2,13,0,79,7,1.2000000000000002,236.10000000000002
2009,1,2,13,30,163,7,1.2000000000000002,236.10000000000002
2009,1,2,14,0,243,7,1.3,244.60000000000002
2009,1,2,14,30,262,7,1.2000000000000002,244.60000000000002
2009,1,2,15,0,125,7,1.2000000000000002,257.0
2009,1,2,15,30,52,7,1.1,257.0
2009,1,2,16,0,30,4,1.1,265.2
2009,1,2,16,30,5,7,1.0,265.2
2009,1,2,17,0,0,4,1.0,273.90000000000003
2009,1,2,17,30,0,4,0.9,273.90000000000003
2009,1,2,18,0,0,7,0.9,283.7
2009,1,2,18,30,0,7,0.9,283.7
2009,1,2,19,0,0,4,0.9,291.7
2009,1,2,19,30,0,0,0.8,291.7
2009,1,2,20,0,0,0,0.8,296.6
2009,1,2,20,30,0,0,0.7000000000000001,296.6
2009,1,2,21,0,0,0,0.6000000000000001,301.0
2009,1,2,21,30,0,0,0.5,301.0
2009,1,2,22,0,0,0,0.5,305.2
2009,1,2,22,30,0,0,0.4,305.2
2009,1,2,23,0,0,0,0.4,310.40000000000003
2009,1,2,23,30,0,0,0.30000000000000004,310.40000000000003
2009,1,3,0,0,0,1,0.30000000000000004,312.70000000000005
2009,1,3,0,30,0,0,0.2,312.70000000000005
2009,1,3,1,0,0,1,0.2,313.90000000000003
2009,1,3,1,30,0,0,0.2,313.90000000000003
2009,1,3,2,0,0,0,0.30000000000000004,329.20000000000005
2009,1,3,2,30,0,0,0.4,329.20000000000005
2009,1,3,3,0,0,0,0.5,340.6
2009,1,3,3,30,0,0,0.5,340.6
2009,1,3,4,0,0,0,0.6000000000000001,342.20000000000005
2009,1,3,4,30,0,1,0.6000000000000001,342.20000000000005
2009,1,3,5,0,0,0,0.6000000000000001,342.6
2009,1,3,5,30,0,1,0.6000000000000001,342.6
2009,1,3,6,0,0,0,0.6000000000000001,353.5
2009,1,3,6,30,0,0,0.6000000000000001,353.5
