Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1029708,-,-,-,39.29,-81.54,-5,205,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,Cloud Type,Wind Speed,Wind Direction
1999,1,1,0,0,0,0,0.4,264.6
1999,1,1,0,30,0,0,0.4,264.6
1999,1,1,1,0,0,0,0.4,265.8
1999,1,1,1,30,0,0,0.4,265.8
1999,1,1,2,0,0,0,0.4,268.5
1999,1,1,2,30,0,0,0.4,268.5
1999,1,1,3,0,0,0,0.4,272.5
1999,1,1,3,30,0,0,0.4,272.5
1999,1,1,4,0,0,0,0.4,276.3
1999,1,1,4,30,0,0,0.4,276.3
1999,1,1,5,0,0,0,0.4,280.0
1999,1,1,5,30,0,0,0.30000000000000004,280.0
1999,1,1,6,0,0,0,0.30000000000000004,285.1
1999,1,1,6,30,0,0,0.30000000000000004,285.1
1999,1,1,7,0,0,0,0.30000000000000004,288.5
1999,1,1,7,30,0,0,0.30000000000000004,288.5
1999,1,1,8,0,189,0,0.30000000000000004,289.2
1999,1,1,8,30,468,0,0.30000000000000004,289.2
1999,1,1,9,0,616,0,0.30000000000000004,295.3
1999,1,1,9,30,713,0,0.30000000000000004,295.3
1999,1,1,10,0,771,0,0.30000000000000004,304.8
1999,1,1,10,30,814,0,0.30000000000000004,304.8
1999,1,1,11,0,834,0,0.4,314.3
1999,1,1,11,30,852,0,0.30000000000000004,314.3
