Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1064999,-,-,-,40.45,-79.98,-5,272,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,Cloud Type,Wind Speed,Wind Direction
2016,1,1,0,0,0,8,0.5,254.4
2016,1,1,0,30,0,8,0.5,254.4
2016,1,1,1,0,0,8,0.5,251.20000000000002
2016,1,1,1,30,0,8,0.5,251.20000000000002
2016,1,1,2,0,0,8,0.5,249.0
2016,1,1,2,30,0,8,0.5,249.0
2016,1,1,3,0,0,8,0.5,248.10000000000002
2016,1,1,3,30,0,8,0.5,248.10000000000002
2016,1,1,4,0,0,8,0.6000000000000001,247.4
2016,1,1,4,30,0,8,0.6000000000000001,247.4
2016,1,1,5,0,0,8,0.6000000000000001,246.70000000000002
2016,1,1,5,30,0,4,0.6000000000000001,246.70000000000002
2016,1,1,6,0,0,4,0.6000000000000001,245.5
2016,1,1,6,30,0,4,0.6000000000000001,245.5
2016,1,1,7,0,0,4,0.6000000000000001,244.8
2016,1,1,7,30,0,4,0.6000000000000001,244.8
2016,1,1,8,0,0,4,0.7000000000000001,245.60000000000002
2016,1,1,8,30,0,4,0.8,245.60000000000002
2016,1,1,9,0,0,4,0.9,252.3
2016,1,1,9,30,0,4,0.9,252.3
2016,1,1,10,0,0,4,1.0,256.8
2016,1,1,10,30,148,4,1.0,256.8
2016,1,1,11,0,0,4,1.0,259.5
2016,1,1,11,30,387,4,1.0,259.5
2016,1,1,12,0,482,4,1.0,262.5
2016,1,1,12,30,122,4,1.0,262.5
2016,1,1,13,0,424,4,1.0,264.90000000000003
2016,1,1,13,30,199,4,0.9,264.90000000000003
2016,1,1,14,0,207,4,0.9,266.7
2016,1,1,14,30,191,4,0.8,266.7
2016,1,1,15,0,184,4,0.8,265.5
2016,1,1,15,30,165,4,0.7000000000000001,265.5
2016,1,1,16,0,116,4,0.7000000000000001,264.40000000000003
2016,1,1,16,30,63,4,0.6000000000000001,264.40000000000003
2016,1,1,17,0,0,4,0.6000000000000001,265.40000000000003
2016,1,1,17,30,0,4,0.6000000000000001,265.40000000000003
2016,1,1,18,0,0,4,0.6000000000000001,268.5
2016,1,1,18,30,0,4,0.6000000000000001,268.5
2016,1,1,19,0,0,4,0.6000000000000001,270.90000000000003
2016,1,1,19,30,0,4,0.6000000000000001,270.90000000000003
2016,1,1,20,0,0,4,0.7000000000000001,274.6
2016,1,1,20,30,0,4,0.7000000000000001,274.6
2016,1,1,21,0,0,4,0.7000000000000001,280.1
2016,1,1,21,30,0,8,0.6000000000000001,280.1
2016,1,1,22,0,0,4,0.6000000000000001,282.40000000000003
2016,1,1,22,30,0,4,0.6000000000000001,282.40000000000003
2016,1,1,23,0,0,8,0.6000000000000001,279.7
2016,1,1,23,30,0,8,0.6000000000000001,279.7
2016,1,2,0,0,0,8,0.6000000000000001,271.1
2016,1,2,0,30,0,8,0.5,271.1
2016,1,2,1,0,0,4,0.5,261.90000000000003
2016,1,2,1,30,0,4,0.4,261.90000000000003
2016,1,2,2,0,0,8,0.4,254.10000000000002
2016,1,2,2,30,0,8,0.4,254.10000000000002
2016,1,2,3,0,0,1,0.5,248.8
2016,1,2,3,30,0,4,0.5,248.8
2016,1,2,4,0,0,4,0.5,242.60000000000002
2016,1,2,4,30,0,4,0.5,242.60000000000002
2016,1,2,5,0,0,4,0.5,233.9
2016,1,2,5,30,0,4,0.5,233.9
2016,1,2,6,0,0,4,0.5,225.10000000000002
2016,1,2,6,30,0,4,0.5,225.10000000000002
2016,1,2,7,0,0,4,0.5,219.0
2016,1,2,7,30,0,4,0.6000000000000001,219.0
2016,1,2,8,0,0,4,0.7000000000000001,222.10000000000002
2016,1,2,8,30,0,4,0.7000000000000001,222.10000000000002
2016,1,2,9,0,0,4,0.8,229.9
2016,1,2,9,30,0,4,0.8,229.9
2016,1,2,10,0,0,4,0.9,240.20000000000002
2016,1,2,10,30,0,4,0.9,240.20000000000002
2016,1,2,11,0,0,4,0.9,246.3
2016,1,2,11,30,0,4,0.9,246.3
2016,1,2,12,0,0,4,0.9,250.70000000000002
2016,1,2,12,30,0,4,0.9,250.70000000000002
2016,1,2,13,0,0,4,0.9,252.5
2016,1,2,13,30,0,4,0.8,252.5
2016,1,2,14,0,0,4,0.8,251.20000000000002
2016,1,2,14,30,0,4,0.7000000000000001,251.20000000000002
