Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1050104,-,-,-,40.37,-80.62,-5,259,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,Cloud Type,Wind Speed,Wind Direction
2004,1,1,0,0,0,0,0.30000000000000004,277.7
2004,1,1,0,30,0,0,0.30000000000000004,277.7
2004,1,1,1,0,0,0,0.4,282.0
2004,1,1,1,30,0,0,0.4,282.0
2004,1,1,2,0,0,0,0.4,279.5
2004,1,1,2,30,0,0,0.30000000000000004,279.5
2004,1,1,3,0,0,0,0.30000000000000004,278.1
2004,1,1,3,30,0,0,0.2,278.1
2004,1,1,4,0,0,0,0.2,280.6
2004,1,1,4,30,0,0,0.2,280.6
2004,1,1,5,0,0,1,0.2,283.0
2004,1,1,5,30,0,1,0.2,283.0
2004,1,1,6,0,0,1,0.2,284.0
2004,1,1,6,30,0,1,0.2,284.0
2004,1,1,7,0,0,4,0.2,277.40000000000003
2004,1,1,7,30,0,4,0.1,277.40000000000003
2004,1,1,8,0,179,0,0.1,233.3
2004,1,1,8,30,450,0,0.1,233.3
2004,1,1,9,0,613,0,0.1,174.8
2004,1,1,9,30,709,0,0.1,174.8
2004,1,1,10,0,778,0,0.1,181.3
2004,1,1,10,30,820,1,0.1,181.3
2004,1,1,11,0,844,0,0.2,189.70000000000002
2004,1,1,11,30,863,0,0.2,189.70000000000002
2004,1,1,12,0,868,0,0.30000000000000004,192.4
2004,1,1,12,30,392,2,0.30000000000000004,192.4
2004,1,1,13,0,378,4,0.30000000000000004,189.3
2004,1,1,13,30,362,4,0.30000000000000004,189.3
2004,1,1,14,0,385,8,0.30000000000000004,185.10000000000002
2004,1,1,14,30,332,4,0.2,185.10000000000002
2004,1,1,15,0,202,4,0.1,168.20000000000002
2004,1,1,15,30,89,4,0.1,168.20000000000002
2004,1,1,16,0,48,7,0.2,163.4
2004,1,1,16,30,11,4,0.2,163.4
2004,1,1,17,0,0,4,0.2,181.3
2004,1,1,17,30,0,7,0.2,181.3
2004,1,1,18,0,0,7,0.2,196.5
2004,1,1,18,30,0,7,0.2,196.5
2004,1,1,19,0,0,7,0.30000000000000004,207.60000000000002
2004,1,1,19,30,0,7,0.30000000000000004,207.60000000000002
2004,1,1,20,0,0,7,0.30000000000000004,205.60000000000002
2004,1,1,20,30,0,7,0.30000000000000004,205.60000000000002
2004,1,1,21,0,0,7,0.30000000000000004,197.70000000000002
2004,1,1,21,30,0,7,0.30000000000000004,197.70000000000002
2004,1,1,22,0,0,6,0.30000000000000004,179.5
2004,1,1,22,30,0,7,0.30000000000000004,179.5
2004,1,1,23,0,0,7,0.30000000000000004,188.70000000000002
2004,1,1,23,30,0,6,0.4,188.70000000000002
2004,1,2,0,0,0,6,0.5,223.70000000000002
2004,1,2,0,30,0,6,0.4,223.70000000000002
2004,1,2,1,0,0,6,0.4,210.3
2004,1,2,1,30,0,6,0.4,210.3
2004,1,2,2,0,0,6,0.4,188.4
2004,1,2,2,30,0,6,0.4,188.4
2004,1,2,3,0,0,6,0.4,191.0
2004,1,2,3,30,0,7,0.4,191.0
2004,1,2,4,0,0,7,0.4,202.20000000000002
2004,1,2,4,30,0,7,0.4,202.20000000000002
2004,1,2,5,0,0,7,0.5,219.9
2004,1,2,5,30,0,6,0.5,219.9
2004,1,2,6,0,0,6,0.5,229.0
2004,1,2,6,30,0,6,0.4,229.0
2004,1,2,7,0,0,6,0.4,234.0
2004,1,2,7,30,0,6,0.30000000000000004,234.0
2004,1,2,8,0,0,6,0.30000000000000004,232.3
2004,1,2,8,30,0,7,0.30000000000000004,232.3
2004,1,2,9,0,0,7,0.30000000000000004,226.8
2004,1,2,9,30,0,7,0.30000000000000004,226.8
2004,1,2,10,0,0,7,0.4,221.9
2004,1,2,10,30,0,7,0.4,221.9
2004,1,2,11,0,34,7,0.4,218.20000000000002
2004,1,2,11,30,31,7,0.4,218.20000000000002
2004,1,2,12,0,0,3,0.5,215.10000000000002
2004,1,2,12,30,0,3,0.5,215.10000000000002
2004,1,2,13,0,0,3,0.5,214.4
2004,1,2,13,30,0,7,0.4,214.4
2004,1,2,14,0,0,4,0.4,209.8
2004,1,2,14,30,0,7,0.4,209.8
2004,1,2,15,0,0,7,0.4,197.20000000000002
2004,1,2,15,30,0,7,0.30000000000000004,197.20000000000002
2004,1,2,16,0,0,8,0.30000000000000004,190.4
2004,1,2,16,30,0,7,0.30000000000000004,190.4
2004,1,2,17,0,0,7,0.4,188.9
2004,1,2,17,30,0,7,0.4,188.9
2004,1,2,18,0,0,7,0.4,191.10000000000002
2004,1,2,18,30,0,7,0.4,191.10000000000002
2004,1,2,19,0,0,7,0.5,192.70000000000002
2004,1,2,19,30,0,7,0.5,192.70000000000002
2004,1,2,20,0,0,7,0.5,195.3
2004,1,2,20,30,0,7,0.5,195.3
2004,1,2,21,0,0,7,0.6000000000000001,199.4
2004,1,2,21,30,0,7,0.6000000000000001,199.4
2004,1,2,22,0,0,7,0.6000000000000001,202.20000000000002
2004,1,2,22,30,0,7,0.6000000000000001,202.20000000000002
2004,1,2,23,0,0,7,0.6000000000000001,207.5
2004,1,2,23,30,0,7,0.6000000000000001,207.5
2004,1,3,0,0,0,7,0.6000000000000001,212.70000000000002
2004,1,3,0,30,0,7,0.6000000000000001,212.70000000000002
2004,1,3,1,0,0,7,0.6000000000000001,214.60000000000002
2004,1,3,1,30,0,7,0.6000000000000001,214.60000000000002
2004,1,3,2,0,0,7,0.7000000000000001,214.3
2004,1,3,2,30,0,7,0.7000000000000001,214.3
2004,1,3,3,0,0,6,0.7000000000000001,215.4
2004,1,3,3,30,0,6,0.6000000000000001,215.4
2004,1,3,4,0,0,7,0.6000000000000001,216.10000000000002
2004,1,3,4,30,0,7,0.6000000000000001,216.10000000000002
2004,1,3,5,0,0,7,0.6000000000000001,217.5
2004,1,3,5,30,0,7,0.6000000000000001,217.5
2004,1,3,6,0,0,7,0.6000000000000001,218.60000000000002
2004,1,3,6,30,0,7,0.6000000000000001,218.60000000000002
2004,1,3,7,0,0,7,0.6000000000000001,220.8
2004,1,3,7,30,0,8,0.6000000000000001,220.8
2004,1,3,8,0,0,4,0.6000000000000001,224.3
2004,1,3,8,30,0,7,0.6000000000000001,224.3
2004,1,3,9,0,0,8,0.6000000000000001,228.4
2004,1,3,9,30,0,7,0.6000000000000001,228.4
2004,1,3,10,0,0,4,0.6000000000000001,232.20000000000002
2004,1,3,10,30,0,4,0.6000000000000001,232.20000000000002
2004,1,3,11,0,0,4,0.6000000000000001,236.4
2004,1,3,11,30,0,4,0.6000000000000001,236.4
2004,1,3,12,0,0,4,0.6000000000000001,243.8
2004,1,3,12,30,0,4,0.5,243.8
2004,1,3,13,0,0,4,0.5,250.60000000000002
2004,1,3,13,30,0,4,0.4,250.60000000000002
2004,1,3,14,0,0,4,0.30000000000000004,257.6
2004,1,3,14,30,0,4,0.2,257.6
2004,1,3,15,0,0,4,0.1,252.10000000000002
