Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1058743,-,-,-,40.17,-80.26,-5,342,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,Cloud Type,Wind Speed,Wind Direction
2001,1,1,0,0,0,4,0.4,261.1
2001,1,1,0,30,0,4,0.4,261.1
2001,1,1,1,0,0,4,0.4,256.7
2001,1,1,1,30,0,4,0.4,256.7
2001,1,1,2,0,0,4,0.4,252.20000000000002
2001,1,1,2,30,0,4,0.4,252.20000000000002
2001,1,1,3,0,0,4,0.4,248.70000000000002
2001,1,1,3,30,0,7,0.4,248.70000000000002
2001,1,1,4,0,0,7,0.4,251.10000000000002
2001,1,1,4,30,0,4,0.4,251.10000000000002
2001,1,1,5,0,0,4,0.4,251.3
2001,1,1,5,30,0,4,0.4,251.3
2001,1,1,6,0,0,4,0.4,246.10000000000002
2001,1,1,6,30,0,4,0.4,246.10000000000002
2001,1,1,7,0,0,4,0.4,245.20000000000002
2001,1,1,7,30,0,1,0.30000000000000004,245.20000000000002
2001,1,1,8,0,0,7,0.30000000000000004,248.70000000000002
2001,1,1,8,30,276,7,0.30000000000000004,248.70000000000002
2001,1,1,9,0,453,7,0.30000000000000004,263.2
2001,1,1,9,30,2,4,0.30000000000000004,263.2
2001,1,1,10,0,6,4,0.30000000000000004,280.8
2001,1,1,10,30,12,4,0.30000000000000004,280.8
2001,1,1,11,0,13,7,0.30000000000000004,301.3
2001,1,1,11,30,140,7,0.30000000000000004,301.3
2001,1,1,12,0,68,7,0.30000000000000004,308.90000000000003
2001,1,1,12,30,116,4,0.30000000000000004,308.90000000000003
2001,1,1,13,0,151,4,0.30000000000000004,311.1
2001,1,1,13,30,124,4,0.30000000000000004,311.1
2001,1,1,14,0,48,4,0.30000000000000004,312.5
2001,1,1,14,30,337,7,0.30000000000000004,312.5
2001,1,1,15,0,16,4,0.30000000000000004,312.0
2001,1,1,15,30,60,4,0.2,312.0
2001,1,1,16,0,23,4,0.2,305.2
2001,1,1,16,30,0,4,0.2,305.2
2001,1,1,17,0,0,4,0.2,298.40000000000003
2001,1,1,17,30,0,4,0.2,298.40000000000003
2001,1,1,18,0,0,7,0.2,296.6
2001,1,1,18,30,0,7,0.2,296.6
2001,1,1,19,0,0,7,0.30000000000000004,298.0
2001,1,1,19,30,0,7,0.30000000000000004,298.0
2001,1,1,20,0,0,7,0.30000000000000004,296.3
2001,1,1,20,30,0,7,0.30000000000000004,296.3
2001,1,1,21,0,0,4,0.4,292.5
2001,1,1,21,30,0,7,0.4,292.5
2001,1,1,22,0,0,7,0.4,292.8
2001,1,1,22,30,0,7,0.4,292.8
2001,1,1,23,0,0,8,0.4,289.3
2001,1,1,23,30,0,7,0.4,289.3
2001,1,2,0,0,0,7,0.5,289.2
2001,1,2,0,30,0,7,0.5,289.2
2001,1,2,1,0,0,4,0.5,292.3
2001,1,2,1,30,0,7,0.5,292.3
2001,1,2,2,0,0,10,0.5,290.7
2001,1,2,2,30,0,1,0.4,290.7
2001,1,2,3,0,0,0,0.4,291.0
2001,1,2,3,30,0,0,0.4,291.0
2001,1,2,4,0,0,1,0.4,290.90000000000003
2001,1,2,4,30,0,0,0.4,290.90000000000003
2001,1,2,5,0,0,4,0.4,290.5
2001,1,2,5,30,0,4,0.4,290.5
2001,1,2,6,0,0,4,0.4,286.90000000000003
2001,1,2,6,30,0,4,0.4,286.90000000000003
2001,1,2,7,0,0,4,0.4,287.40000000000003
2001,1,2,7,30,0,1,0.4,287.40000000000003
2001,1,2,8,0,0,4,0.5,294.1
2001,1,2,8,30,41,4,0.5,294.1
2001,1,2,9,0,75,4,0.5,303.5
2001,1,2,9,30,189,4,0.5,303.5
2001,1,2,10,0,281,4,0.5,305.5
2001,1,2,10,30,734,1,0.5,305.5
2001,1,2,11,0,770,0,0.5,307.5
2001,1,2,11,30,792,0,0.5,307.5
2001,1,2,12,0,816,0,0.5,308.3
2001,1,2,12,30,311,4,0.5,308.3
2001,1,2,13,0,204,4,0.5,304.0
2001,1,2,13,30,211,4,0.5,304.0
2001,1,2,14,0,784,0,0.5,297.2
2001,1,2,14,30,748,0,0.5,297.2
2001,1,2,15,0,716,0,0.5,291.6
2001,1,2,15,30,639,0,0.4,291.6
2001,1,2,16,0,538,0,0.4,288.6
2001,1,2,16,30,355,0,0.4,288.6
2001,1,2,17,0,0,0,0.4,288.3
2001,1,2,17,30,0,0,0.4,288.3
