Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1049726,-,-,-,41.09,-80.66,-5,284,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,Cloud Type,Wind Speed,Wind Direction
2007,1,1,0,0,0,7,0.8,199.4
2007,1,1,0,30,0,0,0.7000000000000001,199.4
2007,1,1,1,0,0,0,0.7000000000000001,211.10000000000002
2007,1,1,1,30,0,0,0.7000000000000001,211.10000000000002
2007,1,1,2,0,0,0,0.7000000000000001,223.4
2007,1,1,2,30,0,0,0.7000000000000001,223.4
2007,1,1,3,0,0,1,0.7000000000000001,228.4
2007,1,1,3,30,0,4,0.6000000000000001,228.4
2007,1,1,4,0,0,4,0.6000000000000001,228.20000000000002
2007,1,1,4,30,0,4,0.6000000000000001,228.20000000000002
2007,1,1,5,0,0,4,0.6000000000000001,226.9
2007,1,1,5,30,0,4,0.5,226.9
2007,1,1,6,0,0,3,0.5,223.60000000000002
2007,1,1,6,30,0,0,0.5,223.60000000000002
2007,1,1,7,0,0,0,0.5,218.70000000000002
2007,1,1,7,30,0,0,0.5,218.70000000000002
2007,1,1,8,0,120,1,0.5,212.10000000000002
2007,1,1,8,30,388,4,0.5,212.10000000000002
2007,1,1,9,0,551,1,0.6000000000000001,213.9
2007,1,1,9,30,652,1,0.6000000000000001,213.9
2007,1,1,10,0,717,0,0.7000000000000001,221.70000000000002
2007,1,1,10,30,0,4,0.7000000000000001,221.70000000000002
2007,1,1,11,0,0,4,0.8,228.9
2007,1,1,11,30,0,4,0.8,228.9
2007,1,1,12,0,0,4,0.8,233.8
2007,1,1,12,30,0,4,0.8,233.8
2007,1,1,13,0,0,4,0.8,243.4
2007,1,1,13,30,0,4,0.8,243.4
2007,1,1,14,0,0,4,0.8,256.90000000000003
2007,1,1,14,30,0,4,0.8,256.90000000000003
2007,1,1,15,0,0,4,0.8,267.2
2007,1,1,15,30,410,1,0.8,267.2
2007,1,1,16,0,238,4,0.8,270.2
2007,1,1,16,30,104,4,0.8,270.2
2007,1,1,17,0,0,4,0.8,266.40000000000003
2007,1,1,17,30,0,4,0.7000000000000001,266.40000000000003
2007,1,1,18,0,0,4,0.7000000000000001,261.1
2007,1,1,18,30,0,4,0.7000000000000001,261.1
2007,1,1,19,0,0,4,0.8,259.7
2007,1,1,19,30,0,4,0.8,259.7
2007,1,1,20,0,0,4,0.8,261.0
2007,1,1,20,30,0,4,0.7000000000000001,261.0
2007,1,1,21,0,0,4,0.7000000000000001,264.0
2007,1,1,21,30,0,4,0.7000000000000001,264.0
2007,1,1,22,0,0,4,0.7000000000000001,273.8
2007,1,1,22,30,0,4,0.7000000000000001,273.8
2007,1,1,23,0,0,4,0.7000000000000001,288.3
2007,1,1,23,30,0,4,0.7000000000000001,288.3
2007,1,2,0,0,0,4,0.7000000000000001,301.5
2007,1,2,0,30,0,4,0.7000000000000001,301.5
2007,1,2,1,0,0,4,0.7000000000000001,306.3
2007,1,2,1,30,0,4,0.6000000000000001,306.3
2007,1,2,2,0,0,4,0.6000000000000001,306.5
2007,1,2,2,30,0,4,0.6000000000000001,306.5
2007,1,2,3,0,0,4,0.6000000000000001,306.3
2007,1,2,3,30,0,4,0.6000000000000001,306.3
2007,1,2,4,0,0,4,0.6000000000000001,307.70000000000005
2007,1,2,4,30,0,4,0.5,307.70000000000005
2007,1,2,5,0,0,4,0.5,305.8
2007,1,2,5,30,0,1,0.5,305.8
2007,1,2,6,0,0,0,0.5,300.8
2007,1,2,6,30,0,1,0.4,300.8
2007,1,2,7,0,0,0,0.4,291.3
2007,1,2,7,30,0,0,0.4,291.3
2007,1,2,8,0,129,0,0.4,276.40000000000003
2007,1,2,8,30,423,0,0.4,276.40000000000003
2007,1,2,9,0,606,0,0.5,273.7
